,E,K,L,M
0,-0.6280224599372418,1,1,20
1,-0.6352712443001967,1,2,20
2,-0.6363356388360439,1,3,20
3,-0.6365505105090465,1,4,20
4,-0.6366011239873877,1,5,20
5,-0.6366143605026093,1,6,20
6,-0.6366181073208255,1,7,20
7,-0.6366192357563395,1,8,20
8,-0.6366195928103394,1,9,20
9,-0.6315192053507238,2,1,20
10,-0.6361233831564634,2,2,20
11,-0.6365463512530088,2,3,20
12,-0.6366063086237367,2,4,20
13,-0.6366169343778595,2,5,20
14,-0.6366191096334312,2,6,20
15,-0.636619604745584,2,7,20
16,-0.6366197271970239,2,8,20
17,-0.6327278434297335,3,1,20
18,-0.6363419580101806,3,2,20
19,-0.6365884281461518,3,3,20
20,-0.636615212760092,3,4,20
21,-0.6366189884160448,3,5,20
22,-0.6366196200693824,3,6,20
23,-0.6366197398148606,3,7,20
24,-0.633332488827031,4,1,20
25,-0.6364301214248392,4,2,20
26,-0.6366023758620643,4,3,20
27,-0.6366176785659592,4,4,20
28,-0.6366194692678652,4,5,20
29,-0.6366197220909021,4,6,20
30,-0.633696549340731,5,1,20
31,-0.6364754181452195,5,2,20
32,-0.6366084958434927,5,3,20
33,-0.6366186105436183,5,4,20
34,-0.6366196270642795,5,5,20
