,E,K,L,M_x,M_y
0,-0.7888211618231434,1,1,10,10
1,-0.8071363876746959,1,2,10,10
2,-0.8098436156251954,1,3,10,10
3,-0.8103907795647356,1,4,10,10
4,-0.8105197537104241,1,5,10,10
5,-0.8105535248271442,1,6,10,10
6,-0.7976308400603465,2,1,10,10
7,-0.8093037572403998,2,2,10,10
8,-0.8103803930270357,2,3,10,10
9,-0.8105330946125999,2,4,10,10
10,-0.8105601773704878,2,5,10,10
11,-0.8006870192510541,3,1,10,10
12,-0.8098601275119826,3,2,10,10
13,-0.810487619443273,3,3,10,10
14,-0.8105558366712802,3,4,10,10
15,-0.8022181040623974,4,1,10,10
16,-0.8100845957107508,4,2,10,10
17,-0.8105231727621794,4,3,10,10
18,-0.8031406779525619,5,1,10,10
19,-0.8101999353129326,5,2,10,10
